Zone;Produit;Origine;Disponibilité alimentaire (Kcal/personne/jour);Disponibilité alimentaire en quantité (kg/personne/an);Disponibilité de matière grasse en quantité (g/personne/jour);Disponibilité de protéines en quantité (g/personne/jour);Disponibilité intérieure;Aliments pour animaux;Autres Utilisations;Exportations - Quantité;Importations - Quantité;Nourriture;Pertes;Production;Semences;Traitement;Variation de stock
Pakistan;Blé;vegetale;903;113.63;4.51;23.56;24373;485;1238;946;421;20696;615;24231;1333;5;668
Indonésie;Manioc;vegetale;132;46.97;0.3;0.7;24219;480;8894;820;1102;11735;3110;23937;;;0
Allemagne;Lait - Excl Beurre;animale;331;258.7;16.5;24.58;23999;2064;504;15677;8332;21401;30;31345;;0;0
Argentine;Sucre, canne;vegetale;;;;;23700;;;;;;50;23700;;23650;
Allemagne;Sucre, betterave;vegetale;0;0;0;0;23077;0;;25;274;0;;22829;;23077;
États-Unis d'Amérique;Légumes, Autres;vegetale;43;66.66;0.4;2.04;22911;193;;3276;6944;21334;1388;19242;;0;
Ukraine;Pommes de Terre;vegetale;249;135.94;0.37;5.95;22801;7377;1299;17;59;6150;1400;22259;5660;915;500
Viet Nam;Riz (Eq Blanchi);vegetale;1390;144.56;4.6;28.34;21391;2712;1481;6951;2;13253;2703;29374;881;362;-1034
Brésil;Manioc;vegetale;85;36.31;0.22;0.58;21279;10684;1196;38;91;7275;2123;21226;;0;
Indonésie;Maïs;vegetale;239;35.3;2.21;5.93;20738;6000;4461;46;3272;8820;1277;18512;180;0;-1000
France;Blé;vegetale;811;108.43;4.2;25.99;20298;7822;2824;21502;2055;6971;358;38614;748;1575;1131
Viet Nam;Sucre, canne;vegetale;9;10.98;0.06;0.03;20131;;247;;;1007;1007;20131;221;17650;
Afrique du Sud;Sucre, canne;vegetale;;;;;20033;;;0;0;;1002;20033;;19031;
États-Unis d'Amérique;Pommes de Terre;vegetale;84;51.88;0.14;2.27;19719;138;641;3273;3157;16606;1189;19715;1145;;120
Myanmar;Riz (Eq Blanchi);vegetale;1234;132.8;5.5;28.87;19596;7882;757;512;21;7073;576;19188;556;2753;900
Égypte;Blé;vegetale;1175;146.83;6.27;35.62;19341;4860;0;191;10331;12048;2224;9460;217;0;-260
Inde;Maïs;vegetale;52;6.29;0.64;1.29;18188;6990;45;5119;17;7876;2330;23290;946;0;0
Turquie;Lait - Excl Beurre;animale;309;193.94;16.62;18.09;18130;2401;24;239;67;14532;1174;18224;;0;79
Inde;Tomates;vegetale;6;12.93;0.07;0.28;18018;;;230;21;16195;1823;18227;;;
France;Lait - Excl Beurre;animale;341;241.31;22.66;22.91;17984;2300;266;10084;3472;15514;66;24575;;0;21
Turquie;Blé;vegetale;1285;169.96;5.09;42.29;17966;211;1320;4366;4092;12736;2300;22100;1399;0;-3860
Inde;Oignons;vegetale;14;13.48;0.07;0.55;17840;;;1477;18;16874;966;19299;;;
Indonésie;Coco (Incl Coprah);vegetale;56;18.46;4.65;0.56;17546;;4200;758;3;4611;1830;18300;;6904;0
Royaume-Uni;Lait - Excl Beurre;animale;341;232.2;21.33;19.05;17005;1374;805;2884;5953;14718;0;13936;;108;0
Turquie;Sucre, betterave;vegetale;;;;;16500;;;0;0;;;16500;;16500;
Allemagne;Blé;vegetale;654;83.41;2.59;21.17;16491;7494;774;10870;5421;6900;663;25019;571;90;-3079
Angola;Manioc;vegetale;560;197.9;0.6;4.72;16412;8880;;0;0;4249;3282;16412;;;0
Cuba;Sucre, canne;vegetale;;;;;16100;1800;;;;;;16100;;14300;
États-Unis d'Amérique;Viande de Volailles;animale;197;50.01;13.28;17.94;16100;;70;4086;101;16006;;20085;;24;0
Ghana;Manioc;vegetale;642;216.1;0.62;5.21;15983;4020;1566;9;2;5598;4800;15990;;;0
Italie;Lait - Excl Beurre;animale;272;246.88;18.27;17.07;15918;524;301;2781;7695;15057;36;11004;;0;0
Égypte;Sucre, canne;vegetale;29;37.84;0.1;0.31;15780;1262;;0;0;3105;137;15780;377;10899;
Inde;Légumineuses Autres;vegetale;97;10.06;1;5.5;15343;1631;;423;1685;12596;443;14081;673;;
Philippines;Coco (Incl Coprah);vegetale;13;4.22;1.1;0.13;14922;46;5713;583;152;416;8;15353;154;8586;0
Mexique;Lait - Excl Beurre;animale;163;111.87;8.78;9.94;14760;10;508;216;3851;13685;558;11118;;;8
Japon;Maïs;vegetale;61;9.21;0.2;0.16;14661;10964;288;1;14403;1171;3;0;0;2235;259
Iran (République islamique d');Légumes, Autres;vegetale;93;170.76;0.66;4.06;14644;;;417;6;13225;1455;15054;;0;
Royaume-Uni;Blé;vegetale;747;98.63;2.99;24.25;14529;6632;801;1312;4354;6251;230;11921;290;324;-435
Viet Nam;Légumes, Autres;vegetale;90;142.33;0.8;5.5;14512;;;302;168;13049;1463;14646;;;0
Ukraine;Maïs;vegetale;79;10.61;0.26;1.83;14190;11393;14;16816;57;480;1235;30950;242;827;0
Turquie;Légumes, Autres;vegetale;72;123.95;0.68;3.34;14001;1968;;641;72;9288;2745;14570;;0;0
Égypte;Maïs;vegetale;596;62.42;8.36;15.72;13802;7032;282;7;5852;5122;1186;7957;32;148;0
Iran (République islamique d');Blé;vegetale;1242;153.31;6.88;37.61;13800;500;8;326;4390;11873;685;9304;734;0;432
Thaïlande;Riz (Eq Blanchi);vegetale;1139;114.57;2.5;19.97;13605;2405;;6860;50;7677;1786;24054;606;1130;-3638
Brésil;Bière;vegetale;66;67.25;;0.55;13474;;;110;34;13474;;13550;;;
Fédération de Russie;Légumes, Autres;vegetale;51;71.09;0.35;2.19;13357;2756;;68;1934;10154;287;11491;;160;0
Fédération de Russie;Orge;vegetale;6;1.03;0.02;0.16;13342;8417;1;2361;489;148;156;15389;2800;1821;-174
Canada;Maïs;vegetale;113;18.95;0.37;2.46;13283;10723;249;1945;1035;667;452;14194;16;1176;0
Philippines;Riz (Eq Blanchi);vegetale;1174;119.44;2.57;20.54;13050;402;17;2;426;11752;721;12299;155;2;328
États-Unis d'Amérique;Tomates;vegetale;18;37.74;0.21;0.83;12789;;;1905;1586;12080;710;12656;;;452
Inde;Graines de coton;vegetale;;;;;12291;5588;;2;0;;615;12293;236;5853;
Brésil;Sucre Eq Brut;vegetale;386;39.61;;;12067;;4130;27728;10;7937;;39494;;0;292
Brésil;Blé;vegetale;384;53;1.14;10.2;12059;600;1;1288;7630;10620;607;5718;231;;0
Inde;Coco (Incl Coprah);vegetale;26;6.38;2.36;0.26;11835;;;165;0;7987;358;11930;;3491;70
Italie;Maïs;vegetale;33;4.23;0.1;0.74;11801;10600;386;323;4089;258;10;7900;33;515;135
États-Unis d'Amérique;Viande de Bovins;animale;100;36.24;5.26;12.28;11587;;0;1245;1113;11598;;11719;;0;0
Japon;Légumes, Autres;vegetale;57;82;0.53;3.05;11449;0;;8;1996;10425;1023;9461;;0;0
Pologne;Sucre, betterave;vegetale;;;;;11234;;;0;0;;0;11234;;11234;
Ukraine;Blé;vegetale;818;105.15;2.53;24.45;11166;4169;20;8331;117;4757;505;22279;1618;97;-2900
Inde;Soja;vegetale;4;0.39;0.19;0.4;11118;;;332;1;484;538;11948;696;9400;-500
Italie;Blé;vegetale;1041;146.37;3.85;32.8;11050;1680;7;3640;6324;8927;36;7312;325;75;1054
Ukraine;Graines de tournesol;vegetale;;;;;11000;28;3461;70;20;;221;11050;50;7240;0
Pérou;Sucre, canne;vegetale;;;;;10992;;;;;;;10992;;10992;
Turquie;Tomates;vegetale;53;98.62;0.8;2.98;10930;1770;;871;1;7390;1770;11800;;0;
Ukraine;Lait - Excl Beurre;animale;236;145.03;13.58;13.11;10869;3149;1104;809;190;6561;54;11488;;0;0
Pologne;Lait - Excl Beurre;animale;249;205.39;16.93;15.48;10840;2228;441;3517;1622;7849;322;12735;;0;0
Espagne;Blé;vegetale;685;93.88;2.97;22.12;10827;5800;70;1457;3931;4405;104;7745;408;40;608
Inde;Millet;vegetale;67;7.83;0.76;1.94;10827;218;;83;0;9810;535;10910;264;;0
Ukraine;Sucre, betterave;vegetale;;;;;10789;3749;;0;0;;35;10789;;7005;0
États-Unis d'Amérique;Edulcorants Autres;vegetale;275;31.38;;0.17;10757;;789;2731;738;10042;;12775;;;-25
Afrique du Sud;Maïs;vegetale;858;100.1;7.69;21.91;10480;4715;0;3036;56;5283;405;11811;33;43;1650
Nigéria;Maïs;vegetale;285;32.72;3.07;7.5;10440;3120;36;0;40;5680;1162;10400;130;311;0
Espagne;Maïs;vegetale;15;1.99;0.05;0.34;10422;9120;1085;319;5698;93;19;4888;20;84;154
Espagne;Lait - Excl Beurre;animale;242;164.29;14.83;14.39;10371;2061;600;1153;4120;7710;;7404;;0;0
États-Unis d'Amérique;Sucre Eq Brut;vegetale;319;31.71;;;10353;;107;341;3283;10149;44;8148;;53;-737
Arabie saoudite;Orge;vegetale;0;0.01;0;0;10317;10000;;0;10547;0;317;11;0;;-241
Égypte;Sucre, betterave;vegetale;;;;;10044;200;0;0;0;;;10044;;9844;
Mozambique;Manioc;vegetale;675;226.45;0.63;5.55;10000;1350;2100;0;0;5850;700;10000;;;0
Japon;Lait - Excl Beurre;animale;113;72.06;5.77;7.19;9820;211;447;7;2319;9162;;7508;;;0
République de Corée;Légumes, Autres;vegetale;140;172.38;1.33;7.3;9765;;0;92;1105;8492;1273;8753;;0;0
Myanmar;Sucre, canne;vegetale;1;1.81;0.01;0;9650;;600;;0;97;483;9650;395;8076;
Brésil;Alcool, non Comestible;vegetale;;;;;9559;;9559;2322;104;;;11777;;;
Espagne;Orge;vegetale;2;0.36;0.01;0.06;9471;8000;;146;409;17;31;10005;724;700;-796
Algérie;Blé;vegetale;1424;185.42;5.34;42.97;9461;545;820;2;6343;7270;672;3299;153;0;-180
Nigéria;Boissons Fermentés;vegetale;55;49.11;;0.43;9407;;;0;2;8527;880;9406;;;
Maroc;Blé;vegetale;1392;179.7;5.52;42.56;9318;2000;350;198;2762;5932;738;6934;299;0;-180
Fédération de Russie;Graines de tournesol;vegetale;;;;;9204;879;;80;30;;529;10554;400;7396;-1300
Fédération de Russie;Maïs;vegetale;3;0.41;0.01;0.07;9131;7759;15;2619;115;58;117;11635;81;1102;
Nigéria;Légumes, Autres;vegetale;33;45.94;0.34;1.78;9054;;;1;16;7976;1078;9039;;;0
Brésil;Viande de Volailles;animale;192;45;14.48;14.56;9016;;;3902;3;9016;;12915;;0;
Canada;Lait - Excl Beurre;animale;193;187.77;11.79;12.62;8940;548;1795;318;747;6606;;8394;;0;117
Fédération de Russie;Bière;vegetale;84;62.5;;0.86;8927;;;297;324;8927;;8900;;;
Indonésie;Légumes, Autres;vegetale;31;33.23;0.22;1.35;8917;;;101;680;8303;615;8338;;0;0
Allemagne;Orge;vegetale;2;0.3;0.01;0.06;8901;6598;;3552;1466;25;243;10344;247;1788;642
Espagne;Olives;vegetale;8;2.99;0.88;0.08;8865;;;405;30;140;22;9251;;8703;-10
République de Corée;Maïs;vegetale;82;12.46;0.17;0.45;8749;6281;47;86;8755;614;176;80;1;1631;0
États-Unis d'Amérique;Viande de Suides;animale;122;27.64;10.01;7.41;8728;;0;2289;493;8847;;10525;;0;0
Ouzbékistan;Blé;vegetale;1322;169.6;4.04;39.56;8707;3274;;133;1998;4907;47;6842;205;274;0
Bangladesh;Pommes de Terre;vegetale;90;46.4;0.13;2.19;8572;;1;37;6;7266;860;8603;444;;0
Pologne;Blé;vegetale;877;108.83;3.2;27.68;8533;2600;650;2249;1037;4159;500;9485;600;24;260
Argentine;Lait - Excl Beurre;animale;256;195.08;16.81;14.94;8481;273;74;2782;79;8085;49;11184;;;0
États-Unis d'Amérique;Huile de Soja;vegetale;528;23.29;59.58;0.17;8477;;882;1024;337;7454;141;9169;;;-5
Royaume-Uni;Sucre, betterave;vegetale;;;;;8442;;;1;11;;;8432;;8442;
Allemagne;Graines Colza/Moutarde;vegetale;4;0;0;0;8440;146;;163;4651;23;97;5796;5;8169;-1844
Inde;Huile de Palme;vegetale;31;1.3;3.54;;8413;;6782;143;8568;1631;;;;;-12
Canada;Orge;vegetale;3;0.46;0.02;0.12;8405;7313;0;2005;173;16;0;10237;207;869;0
Canada;Blé;vegetale;637;84.96;2.5;20.51;8381;3731;664;20704;818;2989;21;37530;1031;0;-9262
Bolivie (État plurinational de);Sucre, canne;vegetale;;;;;8363;;;;0;;;8363;;8363;
États-Unis d'Amérique;Raisin;vegetale;13;8.78;0.05;0.13;8328;;0;1200;897;2809;923;8632;;4596;
Égypte;Tomates;vegetale;45;90.09;0.49;2.47;8222;;;114;44;7392;829;8291;;;1
France;Maïs;vegetale;77;11.11;0.26;1.79;8221;5200;582;6514;722;714;130;15031;110;1485;-1018
Japon;Riz (Eq Blanchi);vegetale;646;59.85;1.43;11.52;8210;101;16;58;940;7609;135;7176;30;319;153
Brésil;Riz (Eq Blanchi);vegetale;326;32.13;0.54;6.44;8198;;0;814;717;6437;944;7843;120;697;451
Allemagne;Pommes de Terre;vegetale;115;61.46;0.16;2.52;8197;105;1138;4373;1723;5084;1230;9670;406;234;1178
Turquie;Orge;vegetale;0;0;;0;8187;6213;41;0;288;0;1185;7900;557;191;0
Canada;Graines Colza/Moutarde;vegetale;16;1;1;1;8098;739;;7135;103;45;541;18109;73;6700;-2980
Allemagne;Maïs;vegetale;86;12.13;0.28;1.98;7961;6136;11;1056;2465;1003;122;4387;63;626;2165
Égypte;Légumes, Autres;vegetale;58;86.71;0.33;2.66;7912;0;;361;25;7115;814;8209;;;39
Ouzbékistan;Lait - Excl Beurre;animale;217;130.81;11.73;11.87;7910;4125;;0;25;3785;;7884;;0;0
Argentine;Maïs;vegetale;86;10.44;0.27;1.96;7881;4923;1266;20241;3;433;516;32119;280;464;-4000
Brésil;Viande de Bovins;animale;161;39.25;10.97;14.68;7863;;;1868;56;7863;;9675;;;0
États-Unis d'Amérique;Oranges, Mandarines;vegetale;20;23.93;0.05;0.37;7842;;1;2025;2367;7659;182;7500;;0;
Inde;Graines Colza/Moutarde;vegetale;8;1;1;0;7785;;;36;0;750;235;7820;50;6750;
Allemagne;Bière;vegetale;126;93.95;;1.29;7773;;0;1509;632;7773;;8650;;;
Cambodge;Manioc;vegetale;70;25.33;0.21;0.48;7746;0;6562;254;0;383;800;8000;;;0
Philippines;Maïs;vegetale;120;20.11;0.39;2.61;7745;4795;861;1;369;1979;60;7377;51;;0
Roumanie;Maïs;vegetale;314;40.47;1.04;7.27;7709;6570;3;3263;313;878;138;11305;63;56;-647
États-Unis d'Amérique;Fruits, Autres;vegetale;29;22.98;0.82;0.4;7688;;;2336;4683;7354;365;5290;;0;51
Indonésie;Fruits, Autres;vegetale;32;27.3;0.56;0.38;7570;;;85;262;6822;747;7396;;0;-3
Mexique;Sorgho;vegetale;;;;;7508;7329;;6;1206;;150;6308;29;;0
Royaume-Uni;Pommes de Terre;vegetale;181;103.86;0.24;4.17;7489;10;419;388;2439;6583;126;5685;350;;-246
Italie;Raisin;vegetale;39;23.32;0.17;0.41;7406;;;861;295;1422;58;8010;;5927;-38
Italie;Légumes, Autres;vegetale;66;96.43;0.51;3.62;7393;552;;1525;1061;5881;946;7857;14;;0
Iraq;Blé;vegetale;1141;136.47;7.47;33.98;7335;1400;400;0;3607;4608;642;4178;285;;-450
Inde;Manioc;vegetale;13;5.54;0.02;0.05;7295;;;21;79;6933;362;7237;;0;0
Japon;Blé;vegetale;387;45.04;1.69;10.7;7282;1156;62;244;6520;5727;165;812;20;152;195
Pologne;Céréales, Autres;vegetale;18;2.29;0.07;0.38;7171;6238;280;205;17;88;145;7404;419;0;-45
Équateur;Sucre, canne;vegetale;;;;;7158;120;777;;;;358;7158;;5903;0
Ghana;Ignames;vegetale;437;159.46;0.87;6.99;7054;;1800;21;;4131;1123;7075;;;0
Turquie;Maïs;vegetale;194;24.3;0.64;4.21;7053;4100;745;397;1550;1821;236;5900;55;96;0
Nicaragua;Sucre, canne;vegetale;;;;;7041;;111;0;0;;;7041;;6930;
Espagne;Raisin;vegetale;6;3.49;0.02;0.06;7020;;597;569;107;164;28;7483;;6231;0
Venezuela (République bolivarienne du);Sucre, canne;vegetale;;;;;7000;;7;0;10;;;7340;;6993;-350
Pologne;Pommes de Terre;vegetale;191;104;0.28;4.54;6881;1505;201;808;275;3974;400;7290;700;100;124
Indonésie;Palmistes;vegetale;;;;;6880;;;2;0;;;6880;;6880;2
Brésil;Bananes;vegetale;50;28.99;0.08;0.64;6850;;;98;0;5808;1042;6948;;0;
Indonésie;Blé;vegetale;183;25.45;0.51;4.89;6812;202;155;262;7074;6360;136;;;0;0
Soudan;Sucre, canne;vegetale;7;8.95;;0.05;6798;;;;;340;;6798;;6458;
Ukraine;Légumes, Autres;vegetale;71;99.37;0.44;2.96;6767;2068;;138;111;4495;193;6794;;10;0
El Salvador;Sucre, canne;vegetale;;;;;6763;70;;0;0;;37;7163;286;6370;-400
Nigéria;Sorgho;vegetale;246;30.64;2.28;7.64;6714;671;;0;14;5320;444;6700;110;168;0
Australie;Blé;vegetale;584;70.46;2.47;18.45;6691;3200;920;18171;283;1645;229;22856;631;66;1724
Viet Nam;Maïs;vegetale;82;9.74;0.77;2.04;6690;5500;;1;1500;893;268;5191;29;;
Kazakhstan;Blé;vegetale;723;92.31;4.04;21.15;6654;1542;486;7442;155;1518;716;13941;2230;161;0
Honduras;Sucre, canne;vegetale;;;;;6600;49;;;0;;66;6600;198;6287;
Iran (République islamique d');Sucre, canne;vegetale;;;;;6537;;;;;;;6537;;6537;
Colombie;Lait - Excl Beurre;animale;179;108.47;8.89;10.68;6483;783;7;54;79;5242;452;6457;;;0
Ouzbékistan;Légumes, Autres;vegetale;134;170.06;0.86;5.3;6470;1249;;263;7;4921;301;6727;;0;0
Inde;Oranges, Mandarines;vegetale;3;4.63;0.01;0.06;6445;;;30;49;5800;646;6426;;;
Australie;Lait - Excl Beurre;animale;339;234.49;20.11;19.81;6375;449;452;3816;775;5474;;9522;;0;-106
Mexique;Blé;vegetale;255;35.21;0.9;6.89;6348;67;1675;1449;4439;4308;224;3357;73;;0
Allemagne;Légumes, Autres;vegetale;51;67.84;0.42;2.41;6339;90;;997;4378;5612;636;2941;;;17
Mexique;Bière;vegetale;51;51.81;;0.43;6338;;;2344;161;6338;;8521;;;
Thaïlande;Sucre Eq Brut;vegetale;368;37.69;;;2527;;;6462;25;2526;;10024;;1;-1060
Pays-Bas;Lait - Excl Beurre;animale;460;341.47;27.66;28.89;6243;599;;10714;5133;5723;0;12433;;0;-608
Inde;Sucre non centrifugé;vegetale;23;2.41;;0.07;6235;312;2900;0;;3023;;6235;;;
États-Unis d'Amérique;Pommes;vegetale;23;18.45;0.12;0.05;6176;;;1051;2011;5905;271;5216;;0;
Fédération de Russie;Sucre Eq Brut;vegetale;405;43.16;;;6165;;0;57;681;6164;;4959;;0;582
Égypte;Lait - Excl Beurre;animale;94;59.46;5.92;5.66;6146;892;51;571;1167;4879;278;5551;;47;0
Philippines;Légumes, Autres;vegetale;46;59.33;0.37;2.38;6112;0;;13;95;5837;274;6030;;0;0
Cambodge;Riz (Eq Blanchi);vegetale;1518;159.1;5.02;30.95;6088;188;2345;376;47;2408;939;6263;207;;154
Brésil;Légumes, Autres;vegetale;18;26.7;0.12;0.86;6074;0;;251;644;5350;730;5682;5;;0
Brésil;Fruits, Autres;vegetale;23;23.3;0.3;0.33;6027;;;330;416;4668;1367;5941;;0;0
Afghanistan;Blé;vegetale;1369;160.23;4.69;36.91;5992;;;;1173;4895;775;5169;322;;-350
France;Pommes de Terre;vegetale;95;53.79;0.13;2.2;5930;399;273;2509;1739;3458;1050;6953;350;400;-253
Kenya;Sucre, canne;vegetale;23;30.44;0.08;0.25;5900;;;0;0;1350;;5900;;4550;
Soudan;Lait - Excl Beurre;animale;315;155.2;20.01;15.75;5892;;0;0;232;5892;;5660;;0;
Iran (République islamique d');Maïs;vegetale;21;2.37;0.3;0.56;5866;5369;;4;4007;184;293;1852;20;;11
Iran (République islamique d');Lait - Excl Beurre;animale;66;46.69;3.55;4.31;5851;1915;7;500;85;3616;313;6266;;0;
France;Raisin;vegetale;8;5.24;0.03;0.08;5847;;;56;384;337;6;5518;;5504;0
États-Unis d'Amérique;Graisses Animales Crue;animale;59;3.12;6.6;0.01;5734;1250;3465;943;115;999;19;6562;;0;0
Côte d'Ivoire;Ignames;vegetale;510;186.2;1.02;8.16;5732;229;;0;0;3783;573;5732;1146;;0
Bélarus;Pommes de Terre;vegetale;336;183.16;0.5;8.03;5727;2554;;231;46;1714;105;5911;1262;93;0
Algérie;Lait - Excl Beurre;animale;227;141.53;11.13;13.34;5705;;;5;2581;5549;156;3129;;;0
Brésil;Huile de Soja;vegetale;329;13.54;37.19;0.04;5702;;2990;1381;6;2713;;7077;;;0
France;Légumes, Autres;vegetale;57;73.75;0.44;2.83;5636;73;;1587;2701;4741;822;4523;;0;0
Pays-Bas;Sucre, betterave;vegetale;;;;;5583;;;221;76;;;5727;;5583;
Paraguay;Sucre, canne;vegetale;;;;;5545;1568;800;0;0;;277;5545;;2899;
États-Unis d'Amérique;Oeufs;animale;56;14.58;3.92;4.27;5519;;;269;11;4667;117;5777;758;;0
Kazakhstan;Lait - Excl Beurre;animale;475;288.12;25.94;25.9;5493;722;4;31;594;4737;30;4930;;0;
Eswatini;Sucre, canne;vegetale;;;;;5450;;;0;;;;5450;;5450;
Roumanie;Lait - Excl Beurre;animale;431;238.33;25.93;23.37;5390;187;;141;514;5171;32;5017;;;0
Philippines;Bananes;vegetale;82;47.63;0.26;1.04;5378;346;;3268;0;4687;346;8646;;;
Indonésie;Bananes;vegetale;33;19.02;0.11;0.42;5355;;;5;1;4753;536;5359;;66;0
Colombie;Maïs;vegetale;255;30.15;1.12;5.88;5340;3770;;38;3649;1457;81;1779;10;22;-50
Nigéria;Riz (Eq Blanchi);vegetale;285;28.23;0.39;5.6;5330;;;0;2195;4901;343;3135;87;;0
Argentine;Blé;vegetale;877;103.11;2.42;23.37;5251;0;19;2615;4;4273;424;9315;534;;-1453
Royaume-Uni;Orge;vegetale;5;0.76;0.02;0.15;5248;3336;;1123;303;48;47;7092;162;1654;-1024
Éthiopie;Racines nda;vegetale;204;49.73;0.27;2.18;5200;;;0;0;4680;520;5200;;;
Iran (République islamique d');Tomates;vegetale;30;59.39;0.33;1.62;5165;;;487;2;4600;565;5650;;0;
Ukraine;Orge;vegetale;19;3.09;0.06;0.52;5146;3638;2;2367;18;140;153;7562;670;543;-67
Brésil;Oranges, Mandarines;vegetale;13;16.59;0.05;0.23;5105;;;12213;34;3324;1781;17284;;;
Algérie;Pommes de Terre;vegetale;126;64.78;0.18;2.66;5087;0;603;1;160;2540;1773;4928;171;;0
Belgique;Sucre, betterave;vegetale;;;;;5085;;50;36;12;;35;4809;;5000;300
Inde;Sorgho;vegetale;32;3.58;0.34;0.93;5061;53;;219;0;4481;362;5280;165;0;
Éthiopie;Maïs;vegetale;398;42.08;1.31;9.2;5023;667;;9;8;3960;334;6674;62;1;-1650
